real_region	n_bins	rand_start	rand_end	p_spatial	p_directional	p_combined
Trbv1	125	41458600	41483600	0.168509	0.559397	0.316882
Trbv1	125	41638000	41663000	1	1	1
Trbv1	125	41020400	41045400	0.168509	0.157186	0.122665
Trbv1	125	41471400	41496400	1	1	1
Trbv1	125	41018400	41043400	0.168509	0.157186	0.122665
Trbv1	125	41417200	41442200	0.415919	0.788107	0.6934
Trbv1	125	41480200	41505200	0.0530513	0.255457	0.0718436
Trbv1	125	41183000	41208000	0.762293	0.460318	0.718379
Trbv1	125	41434800	41459800	0.168509	0.440603	0.267312
Trbv1	125	41028200	41053200	0.762293	0.539682	0.776797
Trbv1	125	40874200	40899200	1	1	1
Trbv1	125	41181000	41206000	0.762293	0.460318	0.718379
Trbv1	125	41579600	41604600	0.762293	0.460318	0.718379
Trbv1	125	40901600	40926600	0.168509	0.440603	0.267312
Trbv1	125	41188800	41213800	0.762293	0.460318	0.718379
Trbv1	125	41406000	41431000	0.415919	0.211893	0.302194
Trbv1	125	40967000	40992000	1	1	1
Trbv1	125	41421400	41446400	0.168509	0.440603	0.267312
Trbv1	125	41057600	41082600	1	1	1
Trbv1	125	41497400	41522400	0.415919	0.211893	0.302194
Trbv1	125	41296800	41321800	1	1	1
Trbv1	125	41268400	41293400	0.415919	0.291256	0.376841
Trbv1	125	40944600	40969600	0.415919	0.788107	0.6934
Trbv1	125	41195200	41220200	0.762293	0.460318	0.718379
Trbv1	125	41539400	41564400	1	1	1
Trbv1	125	40807000	40832000	0.762293	0.539682	0.776797
Trbv1	125	41453600	41478600	0.168509	0.559397	0.316882
Trbv1	125	41221000	41246000	0.415919	0.211893	0.302194
Trbv1	125	41419400	41444400	0.415919	0.788107	0.6934
Trbv1	125	41370200	41395200	1	1	1
Trbv1	125	41168000	41193000	0.762293	0.460318	0.718379
Trbv1	125	41060000	41085000	1	1	1
Trbv1	125	41338800	41363800	0.0530513	0.744543	0.167139
Trbv1	125	40912600	40937600	0.168509	0.440603	0.267312
Trbv1	125	41301000	41326000	0.762293	0.539682	0.776797
Trbv1	125	40872800	40897800	1	1	1
Trbv1	125	41358600	41383600	0.168509	0.0975383	0.0839601
Trbv1	125	41340000	41365000	0.0530513	0.744543	0.167139
Trbv1	125	40863800	40888800	0.762293	0.460318	0.718379
Trbv1	125	41452800	41477800	0.168509	0.559397	0.316882
Trbv1	125	41153800	41178800	0.762293	0.460318	0.718379
Trbv1	125	40826400	40851400	0.762293	0.539682	0.776797
Trbv1	125	40947000	40972000	0.415919	0.788107	0.6934
Trbv1	125	41222200	41247200	0.415919	0.211893	0.302194
Trbv1	125	40954600	40979600	1	1	1
Trbv1	125	41078600	41103600	0.762293	0.539682	0.776797
Trbv1	125	41368000	41393000	1	1	1
Trbv1	125	40916400	40941400	0.168509	0.440603	0.267312
Trbv1	125	41382800	41407800	1	1	1
Trbv1	125	40880400	40905400	1	1	1
Trbv1	125	40943200	40968200	0.0530513	0.374252	0.0976709
Trbv1	125	41304000	41329000	0.762293	0.539682	0.776797
Trbv1	125	41484200	41509200	0.0530513	0.255457	0.0718436
Trbv1	125	40939200	40964200	0.0134657	0.574091	0.045321
Trbv1	125	41052400	41077400	1	1	1
Trbv1	125	41599400	41624400	1	1	1
Trbv1	125	41655800	41680800	0.762293	0.539682	0.776797
Trbv1	125	41298400	41323400	1	1	1
Trbv1	125	41093400	41118400	1	1	1
Trbv1	125	41325800	41350800	0.168509	0.559397	0.316882
Trbv1	125	41307000	41332000	0.762293	0.539682	0.776797
Trbv1	125	41047800	41072800	1	1	1
Trbv1	125	40922400	40947400	0.0530513	0.374252	0.0976709
Trbv1	125	41628600	41653600	1	1	1
Trbv1	125	41155800	41180800	0.762293	0.460318	0.718379
Trbv1	125	41212000	41237000	0.762293	0.460318	0.718379
Trbv1	125	41198600	41223600	0.762293	0.460318	0.718379
Trbv1	125	41474800	41499800	0.415919	0.788107	0.6934
Trbv1	125	40846800	40871800	0.415919	0.788107	0.6934
Trbv1	125	40862200	40887200	0.762293	0.460318	0.718379
Trbv1	125	41031200	41056200	0.762293	0.539682	0.776797
Trbv1	125	41215800	41240800	0.762293	0.460318	0.718379
Trbv1	125	41377200	41402200	1	1	1
Trbv1	125	41219200	41244200	0.415919	0.211893	0.302194
Trbv1	125	41176000	41201000	1	1	1
Trbv1	125	41610400	41635400	1	1	1
Trbv1	125	40930800	40955800	0.0134657	0.574091	0.045321
Trbv1	125	41290200	41315200	1	1	1
Trbv1	125	41264400	41289400	0.762293	0.539682	0.776797
Trbv1	125	41204200	41229200	1	1	1
Trbv1	125	41496600	41521600	0.168509	0.0975383	0.0839601
Trbv1	125	41023600	41048600	0.762293	0.539682	0.776797
Trbv1	125	41624400	41649400	1	1	1
Trbv1	125	41080000	41105000	0.762293	0.539682	0.776797
Trbv1	125	41266800	41291800	0.415919	0.291256	0.376841
Trbv1	125	41245400	41270400	0.415919	0.291256	0.376841
Trbv1	125	41533400	41558400	1	1	1
Trbv1	125	41038800	41063800	1	1	1
Trbv1	125	40808800	40833800	0.762293	0.539682	0.776797
Trbv1	125	41108200	41133200	1	1	1
Trbv1	125	41513000	41538000	1	1	1
Trbv1	125	40798600	40823600	0.762293	0.539682	0.776797
Trbv1	125	41574000	41599000	0.415919	0.788107	0.6934
Trbv1	125	41264800	41289800	0.415919	0.291256	0.376841
Trbv1	125	41054400	41079400	1	1	1
Trbv1	125	41274600	41299600	0.415919	0.291256	0.376841
Trbv1	125	41066200	41091200	0.762293	0.539682	0.776797
Trbv1	125	40885000	40910000	1	1	1
Trbv1	125	41372600	41397600	1	1	1
Trbv1	125	41378200	41403200	1	1	1
Trbv1	125	40894000	40919000	0.415919	0.211893	0.302194
Trbv1	125	41036000	41061000	0.762293	0.539682	0.776797
Trbv1	125	41003200	41028200	0.415919	0.291256	0.376841
Trbv1	125	41366800	41391800	0.762293	0.460318	0.718379
Trbv1	125	41429000	41454000	0.168509	0.440603	0.267312
Trbv1	125	41426000	41451000	0.168509	0.440603	0.267312
Trbv1	125	41611400	41636400	1	1	1
Trbv1	125	41462400	41487400	0.415919	0.788107	0.6934
Trbv1	125	41070400	41095400	0.762293	0.539682	0.776797
Trbv1	125	40884200	40909200	1	1	1
Trbv1	125	41327800	41352800	0.168509	0.559397	0.316882
