readout	region	pairing	metric	value	p
attribution	Trbv1 (5-prime Vbeta outlier)	DN_rep2_vs_ProB_rep2	Cohesin	0.389941	
attribution	Trbv1 (5-prime Vbeta outlier)	DN_rep2_vs_ProB_rep2	H3K27ac	0.34349	
attribution	Vbeta cluster (Trbv2-Trbv30)	DN_rep1_vs_ProB_rep1	ATAC	0.104585	
attribution	Vbeta cluster (Trbv2-Trbv30)	DN_rep1_vs_ProB_rep1	RNA+	0.0661374	
attribution	Vbeta cluster (Trbv2-Trbv30)	DN_rep1_vs_ProB_rep1	RNA-	0.046724	
attribution	Vbeta cluster (Trbv2-Trbv30)	DN_rep1_vs_ProB_rep1	CTCF	0.257966	
attribution	Vbeta cluster (Trbv2-Trbv30)	DN_rep1_vs_ProB_rep1	Cohesin	0.303785	
attribution	Vbeta cluster (Trbv2-Trbv30)	DN_rep1_vs_ProB_rep1	H3K27ac	0.220802	
attribution	Vbeta cluster (Trbv2-Trbv30)	DN_rep1_vs_ProB_rep2	ATAC	0.048243	
attribution	Vbeta cluster (Trbv2-Trbv30)	DN_rep1_vs_ProB_rep2	RNA+	0.0787381	
attribution	Vbeta cluster (Trbv2-Trbv30)	DN_rep1_vs_ProB_rep2	RNA-	0.0583952	
attribution	Vbeta cluster (Trbv2-Trbv30)	DN_rep1_vs_ProB_rep2	CTCF	0.233305	
attribution	Vbeta cluster (Trbv2-Trbv30)	DN_rep1_vs_ProB_rep2	Cohesin	0.365233	
attribution	Vbeta cluster (Trbv2-Trbv30)	DN_rep1_vs_ProB_rep2	H3K27ac	0.216085	
attribution	Vbeta cluster (Trbv2-Trbv30)	DN_rep2_vs_ProB_rep1	ATAC	0.0984507	
attribution	Vbeta cluster (Trbv2-Trbv30)	DN_rep2_vs_ProB_rep1	RNA+	0.0587831	
attribution	Vbeta cluster (Trbv2-Trbv30)	DN_rep2_vs_ProB_rep1	RNA-	0.0376816	
attribution	Vbeta cluster (Trbv2-Trbv30)	DN_rep2_vs_ProB_rep1	CTCF	0.201632	
attribution	Vbeta cluster (Trbv2-Trbv30)	DN_rep2_vs_ProB_rep1	Cohesin	0.337267	
attribution	Vbeta cluster (Trbv2-Trbv30)	DN_rep2_vs_ProB_rep1	H3K27ac	0.266185	
attribution	Vbeta cluster (Trbv2-Trbv30)	DN_rep2_vs_ProB_rep2	ATAC	0.0483488	
attribution	Vbeta cluster (Trbv2-Trbv30)	DN_rep2_vs_ProB_rep2	RNA+	0.0707831	
attribution	Vbeta cluster (Trbv2-Trbv30)	DN_rep2_vs_ProB_rep2	RNA-	0.0499989	
attribution	Vbeta cluster (Trbv2-Trbv30)	DN_rep2_vs_ProB_rep2	CTCF	0.208536	
attribution	Vbeta cluster (Trbv2-Trbv30)	DN_rep2_vs_ProB_rep2	Cohesin	0.366195	
attribution	Vbeta cluster (Trbv2-Trbv30)	DN_rep2_vs_ProB_rep2	H3K27ac	0.256138	
attribution	NEGCTL inter-cluster silent	DN_rep1_vs_ProB_rep1	ATAC	0.0965819	
attribution	NEGCTL inter-cluster silent	DN_rep1_vs_ProB_rep1	RNA+	0	
attribution	NEGCTL inter-cluster silent	DN_rep1_vs_ProB_rep1	RNA-	0	
attribution	NEGCTL inter-cluster silent	DN_rep1_vs_ProB_rep1	CTCF	0.229558	
attribution	NEGCTL inter-cluster silent	DN_rep1_vs_ProB_rep1	Cohesin	0.317431	
attribution	NEGCTL inter-cluster silent	DN_rep1_vs_ProB_rep1	H3K27ac	0.356429	
attribution	NEGCTL inter-cluster silent	DN_rep1_vs_ProB_rep2	ATAC	0.0732581	
attribution	NEGCTL inter-cluster silent	DN_rep1_vs_ProB_rep2	RNA+	0.00146641	
attribution	NEGCTL inter-cluster silent	DN_rep1_vs_ProB_rep2	RNA-	0	
attribution	NEGCTL inter-cluster silent	DN_rep1_vs_ProB_rep2	CTCF	0.232402	
attribution	NEGCTL inter-cluster silent	DN_rep1_vs_ProB_rep2	Cohesin	0.357626	
attribution	NEGCTL inter-cluster silent	DN_rep1_vs_ProB_rep2	H3K27ac	0.335247	
attribution	NEGCTL inter-cluster silent	DN_rep2_vs_ProB_rep1	ATAC	0.0807788	
attribution	NEGCTL inter-cluster silent	DN_rep2_vs_ProB_rep1	RNA+	0	
attribution	NEGCTL inter-cluster silent	DN_rep2_vs_ProB_rep1	RNA-	0.00170301	
attribution	NEGCTL inter-cluster silent	DN_rep2_vs_ProB_rep1	CTCF	0.224889	
attribution	NEGCTL inter-cluster silent	DN_rep2_vs_ProB_rep1	Cohesin	0.294208	
attribution	NEGCTL inter-cluster silent	DN_rep2_vs_ProB_rep1	H3K27ac	0.398421	
attribution	NEGCTL inter-cluster silent	DN_rep2_vs_ProB_rep2	ATAC	0.0711464	
attribution	NEGCTL inter-cluster silent	DN_rep2_vs_ProB_rep2	RNA+	0.00136873	
attribution	NEGCTL inter-cluster silent	DN_rep2_vs_ProB_rep2	RNA-	0.00154393	
attribution	NEGCTL inter-cluster silent	DN_rep2_vs_ProB_rep2	CTCF	0.256185	
attribution	NEGCTL inter-cluster silent	DN_rep2_vs_ProB_rep2	Cohesin	0.324925	
