readout	region	pairing	metric	value	p
attribution	NEGCTL inter-cluster silent	DN_rep1_vs_DP_rep2	ATAC	0.0165723	
attribution	NEGCTL inter-cluster silent	DN_rep1_vs_DP_rep2	RNA+	0.000384421	
attribution	NEGCTL inter-cluster silent	DN_rep1_vs_DP_rep2	RNA-	0.00065035	
attribution	NEGCTL inter-cluster silent	DN_rep1_vs_DP_rep2	CTCF	0.235873	
attribution	NEGCTL inter-cluster silent	DN_rep1_vs_DP_rep2	Cohesin	0.324893	
attribution	NEGCTL inter-cluster silent	DN_rep1_vs_DP_rep2	H3K27ac	0.421627	
attribution	NEGCTL inter-cluster silent	DN_rep2_vs_DP_rep1	ATAC	0.0363933	
attribution	NEGCTL inter-cluster silent	DN_rep2_vs_DP_rep1	RNA+	0.000947536	
attribution	NEGCTL inter-cluster silent	DN_rep2_vs_DP_rep1	RNA-	0.00125288	
attribution	NEGCTL inter-cluster silent	DN_rep2_vs_DP_rep1	CTCF	0.223107	
attribution	NEGCTL inter-cluster silent	DN_rep2_vs_DP_rep1	Cohesin	0.303906	
attribution	NEGCTL inter-cluster silent	DN_rep2_vs_DP_rep1	H3K27ac	0.434394	
attribution	NEGCTL inter-cluster silent	DN_rep2_vs_DP_rep2	ATAC	0.0252197	
attribution	NEGCTL inter-cluster silent	DN_rep2_vs_DP_rep2	RNA+	0.000100331	
attribution	NEGCTL inter-cluster silent	DN_rep2_vs_DP_rep2	RNA-	0.00164559	
attribution	NEGCTL inter-cluster silent	DN_rep2_vs_DP_rep2	CTCF	0.213649	
attribution	NEGCTL inter-cluster silent	DN_rep2_vs_DP_rep2	Cohesin	0.326133	
attribution	NEGCTL inter-cluster silent	DN_rep2_vs_DP_rep2	H3K27ac	0.433252	
attribution	DJ_RC (recombination center)	DN_rep1_vs_DP_rep1	ATAC	0.0142233	
attribution	DJ_RC (recombination center)	DN_rep1_vs_DP_rep1	RNA+	0.312244	
attribution	DJ_RC (recombination center)	DN_rep1_vs_DP_rep1	RNA-	0.147067	
attribution	DJ_RC (recombination center)	DN_rep1_vs_DP_rep1	CTCF	0.19499	
attribution	DJ_RC (recombination center)	DN_rep1_vs_DP_rep1	Cohesin	0.18556	
attribution	DJ_RC (recombination center)	DN_rep1_vs_DP_rep1	H3K27ac	0.145916	
attribution	DJ_RC (recombination center)	DN_rep1_vs_DP_rep2	ATAC	0.0110636	
attribution	DJ_RC (recombination center)	DN_rep1_vs_DP_rep2	RNA+	0.275762	
attribution	DJ_RC (recombination center)	DN_rep1_vs_DP_rep2	RNA-	0.169614	
attribution	DJ_RC (recombination center)	DN_rep1_vs_DP_rep2	CTCF	0.196316	
attribution	DJ_RC (recombination center)	DN_rep1_vs_DP_rep2	Cohesin	0.190032	
attribution	DJ_RC (recombination center)	DN_rep1_vs_DP_rep2	H3K27ac	0.157213	
attribution	DJ_RC (recombination center)	DN_rep2_vs_DP_rep1	ATAC	0.0189869	
attribution	DJ_RC (recombination center)	DN_rep2_vs_DP_rep1	RNA+	0.229827	
attribution	DJ_RC (recombination center)	DN_rep2_vs_DP_rep1	RNA-	0.104341	
attribution	DJ_RC (recombination center)	DN_rep2_vs_DP_rep1	CTCF	0.105457	
attribution	DJ_RC (recombination center)	DN_rep2_vs_DP_rep1	Cohesin	0.321125	
attribution	DJ_RC (recombination center)	DN_rep2_vs_DP_rep1	H3K27ac	0.220264	
attribution	DJ_RC (recombination center)	DN_rep2_vs_DP_rep2	ATAC	0.0154044	
attribution	DJ_RC (recombination center)	DN_rep2_vs_DP_rep2	RNA+	0.198606	
attribution	DJ_RC (recombination center)	DN_rep2_vs_DP_rep2	RNA-	0.139097	
attribution	DJ_RC (recombination center)	DN_rep2_vs_DP_rep2	CTCF	0.106985	
attribution	DJ_RC (recombination center)	DN_rep2_vs_DP_rep2	Cohesin	0.325242	
attribution	DJ_RC (recombination center)	DN_rep2_vs_DP_rep2	H3K27ac	0.214665	
attribution	Ebeta/Trbv31/CBE3 (EbKO deletion)	DN_rep1_vs_DP_rep1	ATAC	0.0815887	
attribution	Ebeta/Trbv31/CBE3 (EbKO deletion)	DN_rep1_vs_DP_rep1	RNA+	0.407786	
attribution	Ebeta/Trbv31/CBE3 (EbKO deletion)	DN_rep1_vs_DP_rep1	RNA-	0.0416081	
attribution	Ebeta/Trbv31/CBE3 (EbKO deletion)	DN_rep1_vs_DP_rep1	CTCF	0.17874	
attribution	Ebeta/Trbv31/CBE3 (EbKO deletion)	DN_rep1_vs_DP_rep1	Cohesin	0.195573	
attribution	Ebeta/Trbv31/CBE3 (EbKO deletion)	DN_rep1_vs_DP_rep1	H3K27ac	0.0947033	
attribution	Ebeta/Trbv31/CBE3 (EbKO deletion)	DN_rep1_vs_DP_rep2	ATAC	0.0453892	
attribution	Ebeta/Trbv31/CBE3 (EbKO deletion)	DN_rep1_vs_DP_rep2	RNA+	0.436483	
attribution	Ebeta/Trbv31/CBE3 (EbKO deletion)	DN_rep1_vs_DP_rep2	RNA-	0.106357	
attribution	Ebeta/Trbv31/CBE3 (EbKO deletion)	DN_rep1_vs_DP_rep2	CTCF	0.161269	
attribution	Ebeta/Trbv31/CBE3 (EbKO deletion)	DN_rep1_vs_DP_rep2	Cohesin	0.170305	
attribution	Ebeta/Trbv31/CBE3 (EbKO deletion)	DN_rep1_vs_DP_rep2	H3K27ac	0.0801971	
attribution	Ebeta/Trbv31/CBE3 (EbKO deletion)	DN_rep2_vs_DP_rep1	ATAC	0.072574	
attribution	Ebeta/Trbv31/CBE3 (EbKO deletion)	DN_rep2_vs_DP_rep1	RNA+	0.424684	
attribution	Ebeta/Trbv31/CBE3 (EbKO deletion)	DN_rep2_vs_DP_rep1	RNA-	0.0329499	
attribution	Ebeta/Trbv31/CBE3 (EbKO deletion)	DN_rep2_vs_DP_rep1	CTCF	0.0187092	
attribution	Ebeta/Trbv31/CBE3 (EbKO deletion)	DN_rep2_vs_DP_rep1	Cohesin	0.190824	
attribution	Ebeta/Trbv31/CBE3 (EbKO deletion)	DN_rep2_vs_DP_rep1	H3K27ac	0.260259	
attribution	Ebeta/Trbv31/CBE3 (EbKO deletion)	DN_rep2_vs_DP_rep2	ATAC	0.0412083	
attribution	Ebeta/Trbv31/CBE3 (EbKO deletion)	DN_rep2_vs_DP_rep2	RNA+	0.4519	
attribution	Ebeta/Trbv31/CBE3 (EbKO deletion)	DN_rep2_vs_DP_rep2	RNA-	0.0943218	
attribution	Ebeta/Trbv31/CBE3 (EbKO deletion)	DN_rep2_vs_DP_rep2	CTCF	0.0147774	
attribution	Ebeta/Trbv31/CBE3 (EbKO deletion)	DN_rep2_vs_DP_rep2	Cohesin	0.169482	
attribution	Ebeta/Trbv31/CBE3 (EbKO deletion)	DN_rep2_vs_DP_rep2	H3K27ac	0.22831	
attribution	NEGCTL 3-prime flanking silent	DN_rep1_vs_DP_rep1	ATAC	0.0156035	
attribution	NEGCTL 3-prime flanking silent	DN_rep1_vs_DP_rep1	RNA+	0.336072	
attribution	NEGCTL 3-prime flanking silent	DN_rep1_vs_DP_rep1	RNA-	0.00127184	
attribution	NEGCTL 3-prime flanking silent	DN_rep1_vs_DP_rep1	CTCF	0.134837	
attribution	NEGCTL 3-prime flanking silent	DN_rep1_vs_DP_rep1	Cohesin	0.294002	
attribution	NEGCTL 3-prime flanking silent	DN_rep1_vs_DP_rep1	H3K27ac	0.218214	
attribution	NEGCTL 3-prime flanking silent	DN_rep1_vs_DP_rep2	ATAC	0.0232664	
attribution	NEGCTL 3-prime flanking silent	DN_rep1_vs_DP_rep2	RNA+	0.355685	
attribution	NEGCTL 3-prime flanking silent	DN_rep1_vs_DP_rep2	RNA-	0.000810969	
attribution	NEGCTL 3-prime flanking silent	DN_rep1_vs_DP_rep2	CTCF	0.116926	
attribution	NEGCTL 3-prime flanking silent	DN_rep1_vs_DP_rep2	Cohesin	0.281846	
attribution	NEGCTL 3-prime flanking silent	DN_rep1_vs_DP_rep2	H3K27ac	0.221466	
attribution	NEGCTL 3-prime flanking silent	DN_rep2_vs_DP_rep1	ATAC	0.0148921	
attribution	NEGCTL 3-prime flanking silent	DN_rep2_vs_DP_rep1	RNA+	0.366642	
attribution	NEGCTL 3-prime flanking silent	DN_rep2_vs_DP_rep1	RNA-	0.00190153	
attribution	NEGCTL 3-prime flanking silent	DN_rep2_vs_DP_rep1	CTCF	0.122243	
attribution	NEGCTL 3-prime flanking silent	DN_rep2_vs_DP_rep1	Cohesin	0.271093	
attribution	NEGCTL 3-prime flanking silent	DN_rep2_vs_DP_rep1	H3K27ac	0.223229	
attribution	NEGCTL 3-prime flanking silent	DN_rep2_vs_DP_rep2	ATAC	0.0233247	
attribution	NEGCTL 3-prime flanking silent	DN_rep2_vs_DP_rep2	RNA+	0.392656	
attribution	NEGCTL 3-prime flanking silent	DN_rep2_vs_DP_rep2	RNA-	0.00130316	
attribution	NEGCTL 3-prime flanking silent	DN_rep2_vs_DP_rep2	CTCF	0.0859898	
attribution	NEGCTL 3-prime flanking silent	DN_rep2_vs_DP_rep2	Cohesin	0.278587	
attribution	NEGCTL 3-prime flanking silent	DN_rep2_vs_DP_rep2	H3K27ac	0.21814	
attribution	CH/JH/iEmu (constant region)	DN_rep1_vs_DP_rep1	ATAC	0.00247329	
attribution	CH/JH/iEmu (constant region)	DN_rep1_vs_DP_rep1	RNA+	0.00190345	
attribution	CH/JH/iEmu (constant region)	DN_rep1_vs_DP_rep1	RNA-	0.0555834	
attribution	CH/JH/iEmu (constant region)	DN_rep1_vs_DP_rep1	CTCF	0.158766	
attribution	CH/JH/iEmu (constant region)	DN_rep1_vs_DP_rep1	Cohesin	0.286631	
attribution	CH/JH/iEmu (constant region)	DN_rep1_vs_DP_rep1	H3K27ac	0.494643	
attribution	CH/JH/iEmu (constant region)	DN_rep1_vs_DP_rep2	ATAC	0.000866304	
attribution	CH/JH/iEmu (constant region)	DN_rep1_vs_DP_rep2	RNA+	0.00194061	
attribution	CH/JH/iEmu (constant region)	DN_rep1_vs_DP_rep2	RNA-	0.0699856	
attribution	CH/JH/iEmu (constant region)	DN_rep1_vs_DP_rep2	CTCF	0.159287	
attribution	CH/JH/iEmu (constant region)	DN_rep1_vs_DP_rep2	Cohesin	0.293755	
attribution	CH/JH/iEmu (constant region)	DN_rep1_vs_DP_rep2	H3K27ac	0.474166	
attribution	CH/JH/iEmu (constant region)	DN_rep2_vs_DP_rep1	ATAC	0.00246503	
attribution	CH/JH/iEmu (constant region)	DN_rep2_vs_DP_rep1	RNA+	0.00189699	
attribution	CH/JH/iEmu (constant region)	DN_rep2_vs_DP_rep1	RNA-	0.0466807	
