readout	region	pairing	metric	value	p
attribution	NEGCTL inter-cluster silent	DN_rep1_vs_S3T3_rep2	ATAC	0.0110968	
attribution	NEGCTL inter-cluster silent	DN_rep1_vs_S3T3_rep2	RNA+	0	
attribution	NEGCTL inter-cluster silent	DN_rep1_vs_S3T3_rep2	RNA-	0	
attribution	NEGCTL inter-cluster silent	DN_rep1_vs_S3T3_rep2	CTCF	0.393708	
attribution	NEGCTL inter-cluster silent	DN_rep1_vs_S3T3_rep2	Cohesin	0.298437	
attribution	NEGCTL inter-cluster silent	DN_rep1_vs_S3T3_rep2	H3K27ac	0.296759	
attribution	NEGCTL inter-cluster silent	DN_rep2_vs_S3T3_rep1	ATAC	0.0468569	
attribution	NEGCTL inter-cluster silent	DN_rep2_vs_S3T3_rep1	RNA+	0	
attribution	NEGCTL inter-cluster silent	DN_rep2_vs_S3T3_rep1	RNA-	0	
attribution	NEGCTL inter-cluster silent	DN_rep2_vs_S3T3_rep1	CTCF	0.343153	
attribution	NEGCTL inter-cluster silent	DN_rep2_vs_S3T3_rep1	Cohesin	0.365413	
attribution	NEGCTL inter-cluster silent	DN_rep2_vs_S3T3_rep1	H3K27ac	0.244577	
attribution	NEGCTL inter-cluster silent	DN_rep2_vs_S3T3_rep2	ATAC	0.0418373	
attribution	NEGCTL inter-cluster silent	DN_rep2_vs_S3T3_rep2	RNA+	0	
attribution	NEGCTL inter-cluster silent	DN_rep2_vs_S3T3_rep2	RNA-	0	
attribution	NEGCTL inter-cluster silent	DN_rep2_vs_S3T3_rep2	CTCF	0.337886	
attribution	NEGCTL inter-cluster silent	DN_rep2_vs_S3T3_rep2	Cohesin	0.35156	
attribution	NEGCTL inter-cluster silent	DN_rep2_vs_S3T3_rep2	H3K27ac	0.268716	
attribution	DJ_RC (recombination center)	DN_rep1_vs_S3T3_rep1	ATAC	0.027217	
attribution	DJ_RC (recombination center)	DN_rep1_vs_S3T3_rep1	RNA+	0.421973	
attribution	DJ_RC (recombination center)	DN_rep1_vs_S3T3_rep1	RNA-	0.0827188	
attribution	DJ_RC (recombination center)	DN_rep1_vs_S3T3_rep1	CTCF	0.167791	
attribution	DJ_RC (recombination center)	DN_rep1_vs_S3T3_rep1	Cohesin	0.165973	
attribution	DJ_RC (recombination center)	DN_rep1_vs_S3T3_rep1	H3K27ac	0.134327	
attribution	DJ_RC (recombination center)	DN_rep1_vs_S3T3_rep2	ATAC	0.0110093	
attribution	DJ_RC (recombination center)	DN_rep1_vs_S3T3_rep2	RNA+	0.392431	
attribution	DJ_RC (recombination center)	DN_rep1_vs_S3T3_rep2	RNA-	0.0795184	
attribution	DJ_RC (recombination center)	DN_rep1_vs_S3T3_rep2	CTCF	0.24489	
attribution	DJ_RC (recombination center)	DN_rep1_vs_S3T3_rep2	Cohesin	0.153137	
attribution	DJ_RC (recombination center)	DN_rep1_vs_S3T3_rep2	H3K27ac	0.119015	
attribution	DJ_RC (recombination center)	DN_rep2_vs_S3T3_rep1	ATAC	0.0274313	
attribution	DJ_RC (recombination center)	DN_rep2_vs_S3T3_rep1	RNA+	0.45884	
